,firefox_filtered_reviews,word_embeddeding,token_list
10,drains a ton of battery on my phone running android 12,"[101, 18916, 1037, 10228, 1997, 6046, 2006, 2026, 3042, 2770, 11924, 2260, 102]","['[CLS]', 'drains', 'a', 'ton', 'of', 'battery', 'on', 'my', 'phone', 'running', 'android', '12', '[SEP]']"
11,desktop app has gotten worse for data collection thunderbird refuses to implement user requested features from 10 year old enhancement bugs memory leaks mobile version eats battery unless prevented from running in the background mozilla brain drain due to social justice politics,"[101, 15363, 10439, 2038, 5407, 4788, 2005, 2951, 3074, 8505, 9001, 10220, 2000, 10408, 5310, 7303, 2838, 2013, 2184, 2095, 2214, 22415, 12883, 3638, 29324, 4684, 2544, 20323, 6046, 4983, 8729, 2013, 2770, 1999, 1996, 4281, 9587, 5831, 4571, 4167, 12475, 2349, 2000, 2591, 3425, 4331, 102]","['[CLS]', 'desktop', 'app', 'has', 'gotten', 'worse', 'for', 'data', 'collection', 'thunder', '##bird', 'refuses', 'to', 'implement', 'user', 'requested', 'features', 'from', '10', 'year', 'old', 'enhancement', 'bugs', 'memory', 'leaks', 'mobile', 'version', 'eats', 'battery', 'unless', 'prevented', 'from', 'running', 'in', 'the', 'background', 'mo', '##zi', '##lla', 'brain', 'drain', 'due', 'to', 'social', 'justice', 'politics', '[SEP]']"
12,i prefer firefox over all other browsers 3ven if it might take more processing power to handle it is the only truly stable browser out there right now,"[101, 1045, 9544, 2543, 14876, 2595, 2058, 2035, 2060, 16602, 2015, 1017, 8159, 2065, 2009, 2453, 2202, 2062, 6364, 2373, 2000, 5047, 2009, 2003, 1996, 2069, 5621, 6540, 16602, 2041, 2045, 2157, 2085, 102]","['[CLS]', 'i', 'prefer', 'fire', '##fo', '##x', 'over', 'all', 'other', 'browser', '##s', '3', '##ven', 'if', 'it', 'might', 'take', 'more', 'processing', 'power', 'to', 'handle', 'it', 'is', 'the', 'only', 'truly', 'stable', 'browser', 'out', 'there', 'right', 'now', '[SEP]']"
13,allegedly awesome but has serious problems whats new tab doesnt give accurate info cant change wallpaper if neither option exists ff logo doesnt work  customize home has no such option also dark theme inop for most websites cant drag  reorder bookmarks to make them easier to find to delete browsing data you have to choose quit every time you exit or use private mode often has problems loading pages and battery drain is no better than samsung internet why bother,"[101, 9382, 12476, 2021, 2038, 3809, 3471, 2054, 2015, 2047, 21628, 2987, 2102, 2507, 8321, 18558, 2064, 2102, 2689, 2813, 23298, 2065, 4445, 5724, 6526, 21461, 8154, 2987, 2102, 2147, 7661, 4697, 2188, 2038, 2053, 2107, 5724, 2036, 2601, 4323, 1999, 7361, 2005, 2087, 11744, 2064, 2102, 8011, 2128, 8551, 2121, 2338, 27373, 2000, 2191, 2068, 6082, 2000, 2424, 2000, 3972, 12870, 11347, 2075, 2951, 2017, 2031, 2000, 5454, 8046, 2296, 2051, 2017, 6164, 2030, 2224, 2797, 5549, 2411, 2038, 3471, 10578, 5530, 1998, 6046, 12475, 2003, 2053, 2488, 2084, 19102, 4274, 2339, 8572, 102]","['[CLS]', 'allegedly', 'awesome', 'but', 'has', 'serious', 'problems', 'what', '##s', 'new', 'tab', 'doesn', '##t', 'give', 'accurate', 'info', 'can', '##t', 'change', 'wall', '##paper', 'if', 'neither', 'option', 'exists', 'ff', 'logo', 'doesn', '##t', 'work', 'custom', '##ize', 'home', 'has', 'no', 'such', 'option', 'also', 'dark', 'theme', 'in', '##op', 'for', 'most', 'websites', 'can', '##t', 'drag', 're', '##ord', '##er', 'book', '##marks', 'to', 'make', 'them', 'easier', 'to', 'find', 'to', 'del', '##ete', 'brows', '##ing', 'data', 'you', 'have', 'to', 'choose', 'quit', 'every', 'time', 'you', 'exit', 'or', 'use', 'private', 'mode', 'often', 'has', 'problems', 'loading', 'pages', 'and', 'battery', 'drain', 'is', 'no', 'better', 'than', 'samsung', 'internet', 'why', 'bother', '[SEP]']"
14,battery consumption wise i belive this is the worst browser i love firefox but the increasing battery consumption makes me want to quit it,"[101, 6046, 8381, 7968, 1045, 19337, 3512, 2023, 2003, 1996, 5409, 16602, 1045, 2293, 2543, 14876, 2595, 2021, 1996, 4852, 6046, 8381, 3084, 2033, 2215, 2000, 8046, 2009, 102]","['[CLS]', 'battery', 'consumption', 'wise', 'i', 'bel', '##ive', 'this', 'is', 'the', 'worst', 'browser', 'i', 'love', 'fire', '##fo', '##x', 'but', 'the', 'increasing', 'battery', 'consumption', 'makes', 'me', 'want', 'to', 'quit', 'it', '[SEP]']"
15,mozilla firefox has been my favorite browser since netscape on android however they have some problems android devices say they are using too much battery when private mode is enabled and left on they have the same complaint about fairemail so im more inclined to believe this is just aggression against all open source apps firefox is their biggest browser competitor which is not based on chrome i have had similar problems with dolphin on android keep up the good work guys,"[101, 9587, 5831, 4571, 2543, 14876, 2595, 2038, 2042, 2026, 5440, 16602, 2144, 16996, 19464, 2006, 11924, 2174, 2027, 2031, 2070, 3471, 11924, 5733, 2360, 2027, 2024, 2478, 2205, 2172, 6046, 2043, 2797, 5549, 2003, 9124, 1998, 2187, 2006, 2027, 2031, 1996, 2168, 12087, 2055, 4189, 14545, 4014, 2061, 10047, 2062, 13050, 2000, 2903, 2023, 2003, 2074, 14974, 2114, 2035, 2330, 3120, 18726, 2543, 14876, 2595, 2003, 2037, 5221, 16602, 12692, 2029, 2003, 2025, 2241, 2006, 18546, 1045, 2031, 2018, 2714, 3471, 2007, 17801, 2006, 11924, 2562, 2039, 1996, 2204, 2147, 4364, 102]","['[CLS]', 'mo', '##zi', '##lla', 'fire', '##fo', '##x', 'has', 'been', 'my', 'favorite', 'browser', 'since', 'nets', '##cape', 'on', 'android', 'however', 'they', 'have', 'some', 'problems', 'android', 'devices', 'say', 'they', 'are', 'using', 'too', 'much', 'battery', 'when', 'private', 'mode', 'is', 'enabled', 'and', 'left', 'on', 'they', 'have', 'the', 'same', 'complaint', 'about', 'fair', '##ema', '##il', 'so', 'im', 'more', 'inclined', 'to', 'believe', 'this', 'is', 'just', 'aggression', 'against', 'all', 'open', 'source', 'apps', 'fire', '##fo', '##x', 'is', 'their', 'biggest', 'browser', 'competitor', 'which', 'is', 'not', 'based', 'on', 'chrome', 'i', 'have', 'had', 'similar', 'problems', 'with', 'dolphin', 'on', 'android', 'keep', 'up', 'the', 'good', 'work', 'guys', '[SEP]']"
16,updates w features seem to cause problems that never shouldve got off the drawing board but the ability to watch youtube videos without ads using addons earns them a 355 despite becoming increasingly battery hungry too bad they have to compete with brave or theyd win but sorry brave is a better mobile browser,"[101, 14409, 1059, 2838, 4025, 2000, 3426, 3471, 2008, 2196, 2323, 3726, 2288, 2125, 1996, 5059, 2604, 2021, 1996, 3754, 2000, 3422, 7858, 6876, 2302, 14997, 2478, 5587, 5644, 7796, 2015, 2068, 1037, 26271, 2750, 3352, 6233, 6046, 7501, 2205, 2919, 2027, 2031, 2000, 5566, 2007, 9191, 2030, 2027, 2094, 2663, 2021, 3374, 9191, 2003, 1037, 2488, 4684, 16602, 102]","['[CLS]', 'updates', 'w', 'features', 'seem', 'to', 'cause', 'problems', 'that', 'never', 'should', '##ve', 'got', 'off', 'the', 'drawing', 'board', 'but', 'the', 'ability', 'to', 'watch', 'youtube', 'videos', 'without', 'ads', 'using', 'add', '##ons', 'earn', '##s', 'them', 'a', '355', 'despite', 'becoming', 'increasingly', 'battery', 'hungry', 'too', 'bad', 'they', 'have', 'to', 'compete', 'with', 'brave', 'or', 'they', '##d', 'win', 'but', 'sorry', 'brave', 'is', 'a', 'better', 'mobile', 'browser', '[SEP]']"
17,now my back and home buttons along with clock and battery status disappear unless you swipe on the top or bottom of the screen what a pain in the rear to use the back button on my s21 completely ruined the browsing experience i want my factory samsung navigation buttons back,"[101, 2085, 2026, 2067, 1998, 2188, 11287, 2247, 2007, 5119, 1998, 6046, 3570, 10436, 4983, 2017, 25430, 15457, 2006, 1996, 2327, 2030, 3953, 1997, 1996, 3898, 2054, 1037, 3255, 1999, 1996, 4373, 2000, 2224, 1996, 2067, 6462, 2006, 2026, 1055, 17465, 3294, 9868, 1996, 11347, 2075, 3325, 1045, 2215, 2026, 4713, 19102, 9163, 11287, 2067, 102]","['[CLS]', 'now', 'my', 'back', 'and', 'home', 'buttons', 'along', 'with', 'clock', 'and', 'battery', 'status', 'disappear', 'unless', 'you', 'sw', '##ipe', 'on', 'the', 'top', 'or', 'bottom', 'of', 'the', 'screen', 'what', 'a', 'pain', 'in', 'the', 'rear', 'to', 'use', 'the', 'back', 'button', 'on', 'my', 's', '##21', 'completely', 'ruined', 'the', 'brows', '##ing', 'experience', 'i', 'want', 'my', 'factory', 'samsung', 'navigation', 'buttons', 'back', '[SEP]']"
18,almost satisfactory needs drag down to refresh for ease of checking that web page is properly loaded also you need to fix the issue with losing all private tabs if battery dies and phone shuts off,"[101, 2471, 23045, 3791, 8011, 2091, 2000, 25416, 21898, 2005, 7496, 1997, 9361, 2008, 4773, 3931, 2003, 7919, 8209, 2036, 2017, 2342, 2000, 8081, 1996, 3277, 2007, 3974, 2035, 2797, 21628, 2015, 2065, 6046, 8289, 1998, 3042, 3844, 2015, 2125, 102]","['[CLS]', 'almost', 'satisfactory', 'needs', 'drag', 'down', 'to', 'ref', '##resh', 'for', 'ease', 'of', 'checking', 'that', 'web', 'page', 'is', 'properly', 'loaded', 'also', 'you', 'need', 'to', 'fix', 'the', 'issue', 'with', 'losing', 'all', 'private', 'tab', '##s', 'if', 'battery', 'dies', 'and', 'phone', 'shut', '##s', 'off', '[SEP]']"
19,firefox now removes the buttons from android and operates in a full screen mode making it so you cant read the time or see your battery nor can you easily access the home back and index buttons i dont know if this is a new feature or a new bug but it makes using the browser more of a hassle than a convenience,"[101, 2543, 14876, 2595, 2085, 20362, 1996, 11287, 2013, 11924, 1998, 5748, 1999, 1037, 2440, 3898, 5549, 2437, 2009, 2061, 2017, 2064, 2102, 3191, 1996, 2051, 2030, 2156, 2115, 6046, 4496, 2064, 2017, 4089, 3229, 1996, 2188, 2067, 1998, 5950, 11287, 1045, 2123, 2102, 2113, 2065, 2023, 2003, 1037, 2047, 3444, 2030, 1037, 2047, 11829, 2021, 2009, 3084, 2478, 1996, 16602, 2062, 1997, 1037, 2038, 25016, 2084, 1037, 15106, 102]","['[CLS]', 'fire', '##fo', '##x', 'now', 'removes', 'the', 'buttons', 'from', 'android', 'and', 'operates', 'in', 'a', 'full', 'screen', 'mode', 'making', 'it', 'so', 'you', 'can', '##t', 'read', 'the', 'time', 'or', 'see', 'your', 'battery', 'nor', 'can', 'you', 'easily', 'access', 'the', 'home', 'back', 'and', 'index', 'buttons', 'i', 'don', '##t', 'know', 'if', 'this', 'is', 'a', 'new', 'feature', 'or', 'a', 'new', 'bug', 'but', 'it', 'makes', 'using', 'the', 'browser', 'more', 'of', 'a', 'has', '##sle', 'than', 'a', 'convenience', '[SEP]']"
