,firefox_filtered_reviews,word_embeddeding,token_list
94,reporting you for not letting users uninstall the app completely this is bs and no one should even use your app at all  because i am warning everyone now it will kill your battery quick plus you wont be able to use your phone at all  this app is terrible ,"[101, 7316, 2017, 2005, 2025, 5599, 5198, 4895, 7076, 9080, 2140, 1996, 10439, 3294, 2023, 2003, 18667, 1998, 2053, 2028, 2323, 2130, 2224, 2115, 10439, 2012, 2035, 2138, 1045, 2572, 5432, 3071, 2085, 2009, 2097, 3102, 2115, 6046, 4248, 4606, 2017, 2180, 2102, 2022, 2583, 2000, 2224, 2115, 3042, 2012, 2035, 2023, 10439, 2003, 6659, 102]","['[CLS]', 'reporting', 'you', 'for', 'not', 'letting', 'users', 'un', '##ins', '##tal', '##l', 'the', 'app', 'completely', 'this', 'is', 'bs', 'and', 'no', 'one', 'should', 'even', 'use', 'your', 'app', 'at', 'all', 'because', 'i', 'am', 'warning', 'everyone', 'now', 'it', 'will', 'kill', 'your', 'battery', 'quick', 'plus', 'you', 'won', '##t', 'be', 'able', 'to', 'use', 'your', 'phone', 'at', 'all', 'this', 'app', 'is', 'terrible', '[SEP]']"
95,updated to four stars after some improvements were made the app is still a battery drain though the update made the app terrible features are missing and i cant even scroll past images without it jumping to the top or bottom of the page,"[101, 7172, 2000, 2176, 3340, 2044, 2070, 8377, 2020, 2081, 1996, 10439, 2003, 2145, 1037, 6046, 12475, 2295, 1996, 10651, 2081, 1996, 10439, 6659, 2838, 2024, 4394, 1998, 1045, 2064, 2102, 2130, 17186, 2627, 4871, 2302, 2009, 8660, 2000, 1996, 2327, 2030, 3953, 1997, 1996, 3931, 102]","['[CLS]', 'updated', 'to', 'four', 'stars', 'after', 'some', 'improvements', 'were', 'made', 'the', 'app', 'is', 'still', 'a', 'battery', 'drain', 'though', 'the', 'update', 'made', 'the', 'app', 'terrible', 'features', 'are', 'missing', 'and', 'i', 'can', '##t', 'even', 'scroll', 'past', 'images', 'without', 'it', 'jumping', 'to', 'the', 'top', 'or', 'bottom', 'of', 'the', 'page', '[SEP]']"
96,much better than it used to be and doesnt drain your battery like chrome does,"[101, 2172, 2488, 2084, 2009, 2109, 2000, 2022, 1998, 2987, 2102, 12475, 2115, 6046, 2066, 18546, 2515, 102]","['[CLS]', 'much', 'better', 'than', 'it', 'used', 'to', 'be', 'and', 'doesn', '##t', 'drain', 'your', 'battery', 'like', 'chrome', 'does', '[SEP]']"
97,kills my pixel 3 xls battery granted thats not hard since the phone is also garbage but this performs worse than most browsers,"[101, 8563, 2026, 22138, 1017, 28712, 2015, 6046, 4379, 2008, 2015, 2025, 2524, 2144, 1996, 3042, 2003, 2036, 13044, 2021, 2023, 10438, 4788, 2084, 2087, 16602, 2015, 102]","['[CLS]', 'kills', 'my', 'pixel', '3', 'xl', '##s', 'battery', 'granted', 'that', '##s', 'not', 'hard', 'since', 'the', 'phone', 'is', 'also', 'garbage', 'but', 'this', 'performs', 'worse', 'than', 'most', 'browser', '##s', '[SEP]']"
98,a good browser but sadly unlike my pc my mobile phone isnt a nasa computer but one of those cheap ones without the heft and juice to melt an arctic iceberg so with regrets i have to use a sub par browser instead of this magnificent piece of wonderously and highly sophisticated software but seriously optimization is a thing but then firefox often used close to one gb of ram on my pc but yeah other than that its hands down the best browser,"[101, 1037, 2204, 16602, 2021, 13718, 4406, 2026, 7473, 2026, 4684, 3042, 3475, 2102, 1037, 9274, 3274, 2021, 2028, 1997, 2216, 10036, 3924, 2302, 1996, 2002, 6199, 1998, 10869, 2000, 14899, 2019, 10162, 3256, 4059, 2061, 2007, 23161, 1045, 2031, 2000, 2224, 1037, 4942, 11968, 16602, 2612, 1997, 2023, 12047, 3538, 1997, 4687, 13453, 1998, 3811, 12138, 4007, 2021, 5667, 20600, 2003, 1037, 2518, 2021, 2059, 2543, 14876, 2595, 2411, 2109, 2485, 2000, 2028, 16351, 1997, 8223, 2006, 2026, 7473, 2021, 3398, 2060, 2084, 2008, 2049, 2398, 2091, 1996, 2190, 16602, 102]","['[CLS]', 'a', 'good', 'browser', 'but', 'sadly', 'unlike', 'my', 'pc', 'my', 'mobile', 'phone', 'isn', '##t', 'a', 'nasa', 'computer', 'but', 'one', 'of', 'those', 'cheap', 'ones', 'without', 'the', 'he', '##ft', 'and', 'juice', 'to', 'melt', 'an', 'arctic', 'ice', '##berg', 'so', 'with', 'regrets', 'i', 'have', 'to', 'use', 'a', 'sub', 'par', 'browser', 'instead', 'of', 'this', 'magnificent', 'piece', 'of', 'wonder', '##ously', 'and', 'highly', 'sophisticated', 'software', 'but', 'seriously', 'optimization', 'is', 'a', 'thing', 'but', 'then', 'fire', '##fo', '##x', 'often', 'used', 'close', 'to', 'one', 'gb', 'of', 'ram', 'on', 'my', 'pc', 'but', 'yeah', 'other', 'than', 'that', 'its', 'hands', 'down', 'the', 'best', 'browser', '[SEP]']"
99,just garbage and slow uses way too many resources and kills battery brave is so much better,"[101, 2074, 13044, 1998, 4030, 3594, 2126, 2205, 2116, 4219, 1998, 8563, 6046, 9191, 2003, 2061, 2172, 2488, 102]","['[CLS]', 'just', 'garbage', 'and', 'slow', 'uses', 'way', 'too', 'many', 'resources', 'and', 'kills', 'battery', 'brave', 'is', 'so', 'much', 'better', '[SEP]']"
100,sluggish and a resource hog drained battery and used up too much memory new version is horrible so i looked for something better switched to a browser that is way faster and has great features bye mozilla,"[101, 23667, 17701, 2232, 1998, 1037, 7692, 27589, 11055, 6046, 1998, 2109, 2039, 2205, 2172, 3638, 2047, 2544, 2003, 9202, 2061, 1045, 2246, 2005, 2242, 2488, 7237, 2000, 1037, 16602, 2008, 2003, 2126, 5514, 1998, 2038, 2307, 2838, 9061, 9587, 5831, 4571, 102]","['[CLS]', 'slug', '##gis', '##h', 'and', 'a', 'resource', 'hog', 'drained', 'battery', 'and', 'used', 'up', 'too', 'much', 'memory', 'new', 'version', 'is', 'horrible', 'so', 'i', 'looked', 'for', 'something', 'better', 'switched', 'to', 'a', 'browser', 'that', 'is', 'way', 'faster', 'and', 'has', 'great', 'features', 'bye', 'mo', '##zi', '##lla', '[SEP]']"
101,horrific usability bookmarks not easily accessible also runs in background and drains battery despite removing autostart permissions ff for desktop my favorite browser just not for mobile,"[101, 23512, 3915, 8553, 2338, 27373, 2025, 4089, 7801, 2036, 3216, 1999, 4281, 1998, 18916, 6046, 2750, 9268, 8285, 14117, 2102, 6656, 2015, 21461, 2005, 15363, 2026, 5440, 16602, 2074, 2025, 2005, 4684, 102]","['[CLS]', 'horrific', 'usa', '##bility', 'book', '##marks', 'not', 'easily', 'accessible', 'also', 'runs', 'in', 'background', 'and', 'drains', 'battery', 'despite', 'removing', 'auto', '##star', '##t', 'permission', '##s', 'ff', 'for', 'desktop', 'my', 'favorite', 'browser', 'just', 'not', 'for', 'mobile', '[SEP]']"
102,battery life hog on huawei mate 20 and samsung s20 fe,"[101, 6046, 2166, 27589, 2006, 23064, 19845, 6775, 2322, 1998, 19102, 1055, 11387, 10768, 102]","['[CLS]', 'battery', 'life', 'hog', 'on', 'hua', '##wei', 'mate', '20', 'and', 'samsung', 's', '##20', 'fe', '[SEP]']"
103,needs work chrome is objectively a better browser in every sense faster better ui less bugs less battery usage the list goes on the only thing keeping me are the extensions this is the only way to get a decent ad blocker on android without rooting or using some sketch privacy browser however even extensions need work because you can only use 12 out or the 1000s available for desktop which never used to be the case wth,"[101, 3791, 2147, 18546, 2003, 7863, 2135, 1037, 2488, 16602, 1999, 2296, 3168, 5514, 2488, 21318, 2625, 12883, 2625, 6046, 8192, 1996, 2862, 3632, 2006, 1996, 2069, 2518, 4363, 2033, 2024, 1996, 14305, 2023, 2003, 1996, 2069, 2126, 2000, 2131, 1037, 11519, 4748, 3796, 2121, 2006, 11924, 2302, 7117, 2075, 2030, 2478, 2070, 11080, 9394, 16602, 2174, 2130, 14305, 2342, 2147, 2138, 2017, 2064, 2069, 2224, 2260, 2041, 2030, 1996, 6694, 2015, 2800, 2005, 15363, 2029, 2196, 2109, 2000, 2022, 1996, 2553, 1059, 2705, 102]","['[CLS]', 'needs', 'work', 'chrome', 'is', 'objective', '##ly', 'a', 'better', 'browser', 'in', 'every', 'sense', 'faster', 'better', 'ui', 'less', 'bugs', 'less', 'battery', 'usage', 'the', 'list', 'goes', 'on', 'the', 'only', 'thing', 'keeping', 'me', 'are', 'the', 'extensions', 'this', 'is', 'the', 'only', 'way', 'to', 'get', 'a', 'decent', 'ad', 'block', '##er', 'on', 'android', 'without', 'root', '##ing', 'or', 'using', 'some', 'sketch', 'privacy', 'browser', 'however', 'even', 'extensions', 'need', 'work', 'because', 'you', 'can', 'only', 'use', '12', 'out', 'or', 'the', '1000', '##s', 'available', 'for', 'desktop', 'which', 'never', 'used', 'to', 'be', 'the', 'case', 'w', '##th', '[SEP]']"
104,not as easy on battery or memory as i would like but worth it to use firefox make sure you turn off their silly wifi locator service to get rid of that annoying background battery usage notification,"[101, 2025, 2004, 3733, 2006, 6046, 2030, 3638, 2004, 1045, 2052, 2066, 2021, 4276, 2009, 2000, 2224, 2543, 14876, 2595, 2191, 2469, 2017, 2735, 2125, 2037, 10021, 15536, 8873, 8840, 11266, 2953, 2326, 2000, 2131, 9436, 1997, 2008, 15703, 4281, 6046, 8192, 26828, 102]","['[CLS]', 'not', 'as', 'easy', 'on', 'battery', 'or', 'memory', 'as', 'i', 'would', 'like', 'but', 'worth', 'it', 'to', 'use', 'fire', '##fo', '##x', 'make', 'sure', 'you', 'turn', 'off', 'their', 'silly', 'wi', '##fi', 'lo', '##cat', '##or', 'service', 'to', 'get', 'rid', 'of', 'that', 'annoying', 'background', 'battery', 'usage', 'notification', '[SEP]']"
105,a pc like browsing experience but a power hungry monster please make it light on resources,"[101, 1037, 7473, 2066, 11347, 2075, 3325, 2021, 1037, 2373, 7501, 6071, 3531, 2191, 2009, 2422, 2006, 4219, 102]","['[CLS]', 'a', 'pc', 'like', 'brows', '##ing', 'experience', 'but', 'a', 'power', 'hungry', 'monster', 'please', 'make', 'it', 'light', 'on', 'resources', '[SEP]']"
106,very taxing on battery life probably a bug  not yet as speedy as promised with the new update but its getting better,"[101, 2200, 10095, 3070, 2006, 6046, 2166, 2763, 1037, 11829, 2025, 2664, 2004, 26203, 2004, 5763, 2007, 1996, 2047, 10651, 2021, 2049, 2893, 2488, 102]","['[CLS]', 'very', 'taxi', '##ng', 'on', 'battery', 'life', 'probably', 'a', 'bug', 'not', 'yet', 'as', 'speedy', 'as', 'promised', 'with', 'the', 'new', 'update', 'but', 'its', 'getting', 'better', '[SEP]']"
107,new updates drain my battery like crazy now 100 to 50 in 4 hours and im not even actively using my phone during that time aside from the saved password popping up correctly now literally none of the changes have been helpful,"[101, 2047, 14409, 12475, 2026, 6046, 2066, 4689, 2085, 2531, 2000, 2753, 1999, 1018, 2847, 1998, 10047, 2025, 2130, 8851, 2478, 2026, 3042, 2076, 2008, 2051, 4998, 2013, 1996, 5552, 20786, 20095, 2039, 11178, 2085, 6719, 3904, 1997, 1996, 3431, 2031, 2042, 14044, 102]","['[CLS]', 'new', 'updates', 'drain', 'my', 'battery', 'like', 'crazy', 'now', '100', 'to', '50', 'in', '4', 'hours', 'and', 'im', 'not', 'even', 'actively', 'using', 'my', 'phone', 'during', 'that', 'time', 'aside', 'from', 'the', 'saved', 'password', 'popping', 'up', 'correctly', 'now', 'literally', 'none', 'of', 'the', 'changes', 'have', 'been', 'helpful', '[SEP]']"
108,latest update started consuming over 80 battery had to uninstall to even charge the phone 6 months later its still a battery hog lame,"[101, 6745, 10651, 2318, 15077, 2058, 3770, 6046, 2018, 2000, 4895, 7076, 9080, 2140, 2000, 2130, 3715, 1996, 3042, 1020, 2706, 2101, 2049, 2145, 1037, 6046, 27589, 20342, 102]","['[CLS]', 'latest', 'update', 'started', 'consuming', 'over', '80', 'battery', 'had', 'to', 'un', '##ins', '##tal', '##l', 'to', 'even', 'charge', 'the', 'phone', '6', 'months', 'later', 'its', 'still', 'a', 'battery', 'hog', 'lame', '[SEP]']"
109,i am unable to shut off the camera and voice or sound and it keeps draining my battery,"[101, 1045, 2572, 4039, 2000, 3844, 2125, 1996, 4950, 1998, 2376, 2030, 2614, 1998, 2009, 7906, 19689, 2026, 6046, 102]","['[CLS]', 'i', 'am', 'unable', 'to', 'shut', 'off', 'the', 'camera', 'and', 'voice', 'or', 'sound', 'and', 'it', 'keeps', 'draining', 'my', 'battery', '[SEP]']"
110,the last update is really nice but i noticed an increased battery power consumption also the youtube videos dont scale well with the screen on my redmi note 7 and its important because i use youtube on firefox to avoid watching ads for everything else is doing well update youtube dont resize well the screen on fullscreen so part of the video is unseen mostly subtitles please fix the issue i dont use youtube app because the insane amount of ads,"[101, 1996, 2197, 10651, 2003, 2428, 3835, 2021, 1045, 4384, 2019, 3445, 6046, 2373, 8381, 2036, 1996, 7858, 6876, 2123, 2102, 4094, 2092, 2007, 1996, 3898, 2006, 2026, 2417, 4328, 3602, 1021, 1998, 2049, 2590, 2138, 1045, 2224, 7858, 2006, 2543, 14876, 2595, 2000, 4468, 3666, 14997, 2005, 2673, 2842, 2003, 2725, 2092, 10651, 7858, 2123, 2102, 24501, 4697, 2092, 1996, 3898, 2006, 2440, 18182, 2061, 2112, 1997, 1996, 2678, 2003, 16100, 3262, 4942, 27430, 3531, 8081, 1996, 3277, 1045, 2123, 2102, 2224, 7858, 10439, 2138, 1996, 9577, 3815, 1997, 14997, 102]","['[CLS]', 'the', 'last', 'update', 'is', 'really', 'nice', 'but', 'i', 'noticed', 'an', 'increased', 'battery', 'power', 'consumption', 'also', 'the', 'youtube', 'videos', 'don', '##t', 'scale', 'well', 'with', 'the', 'screen', 'on', 'my', 'red', '##mi', 'note', '7', 'and', 'its', 'important', 'because', 'i', 'use', 'youtube', 'on', 'fire', '##fo', '##x', 'to', 'avoid', 'watching', 'ads', 'for', 'everything', 'else', 'is', 'doing', 'well', 'update', 'youtube', 'don', '##t', 'res', '##ize', 'well', 'the', 'screen', 'on', 'full', '##screen', 'so', 'part', 'of', 'the', 'video', 'is', 'unseen', 'mostly', 'sub', '##titles', 'please', 'fix', 'the', 'issue', 'i', 'don', '##t', 'use', 'youtube', 'app', 'because', 'the', 'insane', 'amount', 'of', 'ads', '[SEP]']"
111,eats so much battery and data compared to other browsers  its fast tho,"[101, 20323, 2061, 2172, 6046, 1998, 2951, 4102, 2000, 2060, 16602, 2015, 2049, 3435, 27793, 102]","['[CLS]', 'eats', 'so', 'much', 'battery', 'and', 'data', 'compared', 'to', 'other', 'browser', '##s', 'its', 'fast', 'tho', '[SEP]']"
112,firefox app used to be great recently it has gone downhill fast ive noticed firefox using background data and battery despite these settings specifically being turned off for it i force stop the app to prevent this and it just turns itself on some time later time to chose an alternative browser that doesnt have ulterior motives,"[101, 2543, 14876, 2595, 10439, 2109, 2000, 2022, 2307, 3728, 2009, 2038, 2908, 19448, 3435, 4921, 2063, 4384, 2543, 14876, 2595, 2478, 4281, 2951, 1998, 6046, 2750, 2122, 10906, 4919, 2108, 2357, 2125, 2005, 2009, 1045, 2486, 2644, 1996, 10439, 2000, 4652, 2023, 1998, 2009, 2074, 4332, 2993, 2006, 2070, 2051, 2101, 2051, 2000, 4900, 2019, 4522, 16602, 2008, 2987, 2102, 2031, 17359, 3334, 25346, 17108, 102]","['[CLS]', 'fire', '##fo', '##x', 'app', 'used', 'to', 'be', 'great', 'recently', 'it', 'has', 'gone', 'downhill', 'fast', 'iv', '##e', 'noticed', 'fire', '##fo', '##x', 'using', 'background', 'data', 'and', 'battery', 'despite', 'these', 'settings', 'specifically', 'being', 'turned', 'off', 'for', 'it', 'i', 'force', 'stop', 'the', 'app', 'to', 'prevent', 'this', 'and', 'it', 'just', 'turns', 'itself', 'on', 'some', 'time', 'later', 'time', 'to', 'chose', 'an', 'alternative', 'browser', 'that', 'doesn', '##t', 'have', 'ul', '##ter', '##ior', 'motives', '[SEP]']"
113,ruined it they totally ruined the fact that firefox for android used to be a very low power consuming browser among the others from the store and now turned this into a battery draining one speed has significantly improved but  undo closed tab notice appears at a very inconvenient place while using the screen horizontally  tabs placements now cannot be reorganized in the drawer like it was always possible in the previous versions by simply dragging them around way to go mozilla ,"[101, 9868, 2009, 2027, 6135, 9868, 1996, 2755, 2008, 2543, 14876, 2595, 2005, 11924, 2109, 2000, 2022, 1037, 2200, 2659, 2373, 15077, 16602, 2426, 1996, 2500, 2013, 1996, 3573, 1998, 2085, 2357, 2023, 2046, 1037, 6046, 19689, 2028, 3177, 2038, 6022, 5301, 2021, 25672, 2701, 21628, 5060, 3544, 2012, 1037, 2200, 4297, 2239, 8159, 11638, 2173, 2096, 2478, 1996, 3898, 23190, 21628, 2015, 11073, 2015, 2085, 3685, 2022, 14137, 1999, 1996, 13065, 2066, 2009, 2001, 2467, 2825, 1999, 1996, 3025, 4617, 2011, 3432, 11920, 2068, 2105, 2126, 2000, 2175, 9587, 5831, 4571, 102]","['[CLS]', 'ruined', 'it', 'they', 'totally', 'ruined', 'the', 'fact', 'that', 'fire', '##fo', '##x', 'for', 'android', 'used', 'to', 'be', 'a', 'very', 'low', 'power', 'consuming', 'browser', 'among', 'the', 'others', 'from', 'the', 'store', 'and', 'now', 'turned', 'this', 'into', 'a', 'battery', 'draining', 'one', 'speed', 'has', 'significantly', 'improved', 'but', 'undo', 'closed', 'tab', 'notice', 'appears', 'at', 'a', 'very', 'inc', '##on', '##ven', '##ient', 'place', 'while', 'using', 'the', 'screen', 'horizontally', 'tab', '##s', 'placement', '##s', 'now', 'cannot', 'be', 'reorganized', 'in', 'the', 'drawer', 'like', 'it', 'was', 'always', 'possible', 'in', 'the', 'previous', 'versions', 'by', 'simply', 'dragging', 'them', 'around', 'way', 'to', 'go', 'mo', '##zi', '##lla', '[SEP]']"
114,been a fan on ff for many years ever since the update many things have gone down the drain the layout changes are not intuitive eg toolbar is up but to add new tab the  is below history and offline site data now has less control than before really regretted clicking on the update button not withstanding the above comments now i cant even move tabs downgrading to one star what a sad turn off events,"[101, 2042, 1037, 5470, 2006, 21461, 2005, 2116, 2086, 2412, 2144, 1996, 10651, 2116, 2477, 2031, 2908, 2091, 1996, 12475, 1996, 9621, 3431, 2024, 2025, 29202, 1041, 2290, 6994, 8237, 2003, 2039, 2021, 2000, 5587, 2047, 21628, 1996, 2003, 2917, 2381, 1998, 2125, 4179, 2609, 2951, 2085, 2038, 2625, 2491, 2084, 2077, 2428, 18991, 22042, 2006, 1996, 10651, 6462, 2025, 19319, 2075, 1996, 2682, 7928, 2085, 1045, 2064, 2102, 2130, 2693, 21628, 2015, 2091, 16307, 2075, 2000, 2028, 2732, 2054, 1037, 6517, 2735, 2125, 2824, 102]","['[CLS]', 'been', 'a', 'fan', 'on', 'ff', 'for', 'many', 'years', 'ever', 'since', 'the', 'update', 'many', 'things', 'have', 'gone', 'down', 'the', 'drain', 'the', 'layout', 'changes', 'are', 'not', 'intuitive', 'e', '##g', 'tool', '##bar', 'is', 'up', 'but', 'to', 'add', 'new', 'tab', 'the', 'is', 'below', 'history', 'and', 'off', '##line', 'site', 'data', 'now', 'has', 'less', 'control', 'than', 'before', 'really', 'regretted', 'clicking', 'on', 'the', 'update', 'button', 'not', 'withstand', '##ing', 'the', 'above', 'comments', 'now', 'i', 'can', '##t', 'even', 'move', 'tab', '##s', 'down', '##grad', '##ing', 'to', 'one', 'star', 'what', 'a', 'sad', 'turn', 'off', 'events', '[SEP]']"
115,new  the downloads are always stuck and not charging the bar remains gray forever on other navigators it works im on miui 1105 it works when i long press the download url and choose  download link but its kind of annoying,"[101, 2047, 1996, 22956, 2024, 2467, 5881, 1998, 2025, 13003, 1996, 3347, 3464, 3897, 5091, 2006, 2060, 20532, 2015, 2009, 2573, 10047, 2006, 2771, 10179, 7287, 2629, 2009, 2573, 2043, 1045, 2146, 2811, 1996, 8816, 24471, 2140, 1998, 5454, 8816, 4957, 2021, 2049, 2785, 1997, 15703, 102]","['[CLS]', 'new', 'the', 'downloads', 'are', 'always', 'stuck', 'and', 'not', 'charging', 'the', 'bar', 'remains', 'gray', 'forever', 'on', 'other', 'navigator', '##s', 'it', 'works', 'im', 'on', 'mi', '##ui', '110', '##5', 'it', 'works', 'when', 'i', 'long', 'press', 'the', 'download', 'ur', '##l', 'and', 'choose', 'download', 'link', 'but', 'its', 'kind', 'of', 'annoying', '[SEP]']"
116,used to be an excellent browser has been my goto android browser app for the longest time lately it seems everytime i launch the app my phone alerts me for the app creating abnormal battery drain i end up killing the app process going to applications  storage and cache  clearing storage mozilla please fix this app,"[101, 2109, 2000, 2022, 2019, 6581, 16602, 2038, 2042, 2026, 2288, 2080, 11924, 16602, 10439, 2005, 1996, 6493, 2051, 9906, 2009, 3849, 2296, 7292, 1045, 4888, 1996, 10439, 2026, 3042, 9499, 2015, 2033, 2005, 1996, 10439, 4526, 19470, 6046, 12475, 1045, 2203, 2039, 4288, 1996, 10439, 2832, 2183, 2000, 5097, 5527, 1998, 17053, 8430, 5527, 9587, 5831, 4571, 3531, 8081, 2023, 10439, 102]","['[CLS]', 'used', 'to', 'be', 'an', 'excellent', 'browser', 'has', 'been', 'my', 'got', '##o', 'android', 'browser', 'app', 'for', 'the', 'longest', 'time', 'lately', 'it', 'seems', 'every', '##time', 'i', 'launch', 'the', 'app', 'my', 'phone', 'alert', '##s', 'me', 'for', 'the', 'app', 'creating', 'abnormal', 'battery', 'drain', 'i', 'end', 'up', 'killing', 'the', 'app', 'process', 'going', 'to', 'applications', 'storage', 'and', 'cache', 'clearing', 'storage', 'mo', '##zi', '##lla', 'please', 'fix', 'this', 'app', '[SEP]']"
117,browsing is generally good but performance is lacking also consumes much more battery than chrome,"[101, 11347, 2075, 2003, 3227, 2204, 2021, 2836, 2003, 11158, 2036, 16678, 2015, 2172, 2062, 6046, 2084, 18546, 102]","['[CLS]', 'brows', '##ing', 'is', 'generally', 'good', 'but', 'performance', 'is', 'lacking', 'also', 'consume', '##s', 'much', 'more', 'battery', 'than', 'chrome', '[SEP]']"
118,25062015 characters too smal in facebook web page 03062015 fast inly for a higher hardware performance25042014 unfortunately after 1 month of use it is still hungry consume a lot of cpu power thus decrease battery life 22032014 aprs installation je voit une grande amlioration depuis la premire vue mais jattends  lutiliser dabord avant de donner mon avis final,"[101, 5539, 2575, 11387, 16068, 3494, 2205, 15488, 2389, 1999, 9130, 4773, 3931, 6021, 2692, 2575, 11387, 16068, 3435, 1999, 2135, 2005, 1037, 3020, 8051, 2836, 17788, 2692, 20958, 24096, 2549, 6854, 2044, 1015, 3204, 1997, 2224, 2009, 2003, 2145, 7501, 16678, 1037, 2843, 1997, 17368, 2373, 2947, 9885, 6046, 2166, 10545, 16703, 24096, 2549, 19804, 2015, 8272, 15333, 29536, 4183, 16655, 9026, 2572, 12798, 8156, 2139, 14289, 2483, 2474, 26563, 7442, 24728, 2063, 14736, 2015, 14855, 25970, 5104, 11320, 3775, 6856, 2121, 4830, 12821, 2094, 14815, 2139, 2123, 3678, 12256, 20704, 2483, 2345, 102]","['[CLS]', '250', '##6', '##20', '##15', 'characters', 'too', 'sm', '##al', 'in', 'facebook', 'web', 'page', '03', '##0', '##6', '##20', '##15', 'fast', 'in', '##ly', 'for', 'a', 'higher', 'hardware', 'performance', '##25', '##0', '##42', '##01', '##4', 'unfortunately', 'after', '1', 'month', 'of', 'use', 'it', 'is', 'still', 'hungry', 'consume', 'a', 'lot', 'of', 'cpu', 'power', 'thus', 'decrease', 'battery', 'life', '220', '##32', '##01', '##4', 'apr', '##s', 'installation', 'je', 'vo', '##it', 'une', 'grande', 'am', '##lio', '##ration', 'de', '##pu', '##is', 'la', 'prem', '##ire', 'vu', '##e', 'mai', '##s', 'ja', '##tten', '##ds', 'lu', '##ti', '##lis', '##er', 'da', '##bor', '##d', 'avant', 'de', 'don', '##ner', 'mon', 'av', '##is', 'final', '[SEP]']"
119,firefox used to be a simply great browser now it is not they keep adding bells and whistles that slow it down and make it burn battery life,"[101, 2543, 14876, 2595, 2109, 2000, 2022, 1037, 3432, 2307, 16602, 2085, 2009, 2003, 2025, 2027, 2562, 5815, 10118, 1998, 13300, 2015, 2008, 4030, 2009, 2091, 1998, 2191, 2009, 6402, 6046, 2166, 102]","['[CLS]', 'fire', '##fo', '##x', 'used', 'to', 'be', 'a', 'simply', 'great', 'browser', 'now', 'it', 'is', 'not', 'they', 'keep', 'adding', 'bells', 'and', 'whistle', '##s', 'that', 'slow', 'it', 'down', 'and', 'make', 'it', 'burn', 'battery', 'life', '[SEP]']"
120,2 windows of firefox opens simultaneously when i open the browser on my oneplus 8t this consumes more ram  battery please fix this issue,"[101, 1016, 3645, 1997, 2543, 14876, 2595, 7480, 7453, 2043, 1045, 2330, 1996, 16602, 2006, 2026, 2028, 24759, 2271, 1022, 2102, 2023, 16678, 2015, 2062, 8223, 6046, 3531, 8081, 2023, 3277, 102]","['[CLS]', '2', 'windows', 'of', 'fire', '##fo', '##x', 'opens', 'simultaneously', 'when', 'i', 'open', 'the', 'browser', 'on', 'my', 'one', '##pl', '##us', '8', '##t', 'this', 'consume', '##s', 'more', 'ram', 'battery', 'please', 'fix', 'this', 'issue', '[SEP]']"
121,was the best now just awful latest upgrade terrible leaves tabs open eats up battery seems like a useless beta version not ready for launch looks like going to have to use chrome come on mozilla get this mess sorted,"[101, 2001, 1996, 2190, 2085, 2074, 9643, 6745, 12200, 6659, 3727, 21628, 2015, 2330, 20323, 2039, 6046, 3849, 2066, 1037, 11809, 8247, 2544, 2025, 3201, 2005, 4888, 3504, 2066, 2183, 2000, 2031, 2000, 2224, 18546, 2272, 2006, 9587, 5831, 4571, 2131, 2023, 6752, 19616, 102]","['[CLS]', 'was', 'the', 'best', 'now', 'just', 'awful', 'latest', 'upgrade', 'terrible', 'leaves', 'tab', '##s', 'open', 'eats', 'up', 'battery', 'seems', 'like', 'a', 'useless', 'beta', 'version', 'not', 'ready', 'for', 'launch', 'looks', 'like', 'going', 'to', 'have', 'to', 'use', 'chrome', 'come', 'on', 'mo', '##zi', '##lla', 'get', 'this', 'mess', 'sorted', '[SEP]']"
122,not private not acceptable even though all privacy and security settings are set to the most restricted level and i use qwant as search engine im still targeted with ads in other apos that are clearly and directly related to my previous searches in the firefox browser in addition this app runs in the background and uses ca 3 of battery per hour even though background activity is disabled,"[101, 2025, 2797, 2025, 11701, 2130, 2295, 2035, 9394, 1998, 3036, 10906, 2024, 2275, 2000, 1996, 2087, 7775, 2504, 1998, 1045, 2224, 1053, 7447, 2102, 2004, 3945, 3194, 10047, 2145, 9416, 2007, 14997, 1999, 2060, 9706, 2891, 2008, 2024, 4415, 1998, 3495, 3141, 2000, 2026, 3025, 17193, 1999, 1996, 2543, 14876, 2595, 16602, 1999, 2804, 2023, 10439, 3216, 1999, 1996, 4281, 1998, 3594, 6187, 1017, 1997, 6046, 2566, 3178, 2130, 2295, 4281, 4023, 2003, 9776, 102]","['[CLS]', 'not', 'private', 'not', 'acceptable', 'even', 'though', 'all', 'privacy', 'and', 'security', 'settings', 'are', 'set', 'to', 'the', 'most', 'restricted', 'level', 'and', 'i', 'use', 'q', '##wan', '##t', 'as', 'search', 'engine', 'im', 'still', 'targeted', 'with', 'ads', 'in', 'other', 'ap', '##os', 'that', 'are', 'clearly', 'and', 'directly', 'related', 'to', 'my', 'previous', 'searches', 'in', 'the', 'fire', '##fo', '##x', 'browser', 'in', 'addition', 'this', 'app', 'runs', 'in', 'the', 'background', 'and', 'uses', 'ca', '3', 'of', 'battery', 'per', 'hour', 'even', 'though', 'background', 'activity', 'is', 'disabled', '[SEP]']"
